Subject_Code,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Marks,Difficulty
PHY,A body is thrown vertically upward with velocity u. The maximum height reached is:,u/2g,u²/2g,u²/g,2u²/g,B,1,easy
PHY,The SI unit of force is:,Joule,Newton,Pascal,Watt,B,1,easy
PHY,Which law states that every action has an equal and opposite reaction?,Newton's First Law,Newton's Second Law,Newton's Third Law,Law of Gravitation,C,1,easy
PHY,The dimensional formula of work done is:,[ML²T⁻²],[MLT⁻²],[ML²T⁻¹],[ML⁻¹T²],A,1,easy
PHY,Speed of light in vacuum is approximately:,3 × 10⁶ m/s,3 × 10⁸ m/s,3 × 10¹⁰ m/s,3 × 10⁴ m/s,B,1,easy
PHY,A car accelerates from rest to 20 m/s in 10 s. Its acceleration is:,1 m/s²,2 m/s²,4 m/s²,10 m/s²,B,1,easy
PHY,The work done by a force of 10 N over a displacement of 5 m at 60° to the force is:,25 J,50 J,43.3 J,86.6 J,A,1,medium
PHY,An object of mass 2 kg moves with velocity 3 m/s. Its kinetic energy is:,6 J,9 J,12 J,18 J,B,1,easy
PHY,Which of the following is a scalar quantity?,Force,Displacement,Velocity,Speed,D,1,easy
PHY,Ohm's law relates:,Current and Power,Voltage and Resistance,Current and Magnetic Field,Resistance and Power,B,1,easy
PHY,The unit of electric charge is:,Volt,Ampere,Coulomb,Farad,C,1,easy
PHY,A lens that converges light rays is called:,Concave lens,Convex lens,Plane glass,Bifocal lens,B,1,easy
PHY,Total internal reflection occurs when light travels from:,Rarer to denser medium,Denser to rarer medium,Vacuum to air,Air to glass,B,1,medium
PHY,The phenomenon responsible for blue colour of the sky is:,Reflection,Refraction,Scattering,Diffraction,C,1,medium
PHY,The energy stored in a capacitor of capacitance C at voltage V is:,CV,CV²,½CV²,2CV²,C,1,medium
PHY,Magnetic field lines inside a solenoid are:,Curved,Circular,Parallel and uniform,Random,C,1,medium
PHY,The escape velocity from Earth's surface is approximately:,7.9 km/s,11.2 km/s,15.0 km/s,3.0 km/s,B,1,medium
PHY,A projectile is launched at 45° to the horizontal. The horizontal range is:,Maximum,Minimum,Zero,Equal to height,A,1,medium
PHY,The period of a simple pendulum depends on:,Mass of the bob,Length of the pendulum,Amplitude of swing,Material of the bob,B,1,medium
PHY,The SI unit of magnetic flux is:,Tesla,Weber,Gauss,Ampere,B,1,medium
PHY,According to Bohr's model the angular momentum of an electron is:,nh,nh/2π,nh/π,2nh/π,B,2,hard
PHY,Photoelectric effect proves light behaves as:,A wave,A particle,Both wave and particle,Neither,B,2,hard
PHY,In an LCR circuit at resonance the impedance equals:,R,√(R²+X²),Zero,Infinity,A,2,hard
PHY,The de Broglie wavelength of a particle of mass m and velocity v is:,mv/h,h/mv,hv/m,m/hv,B,2,hard
PHY,A nucleus emits an α-particle. The atomic number:,Increases by 2,Decreases by 2,Remains unchanged,Decreases by 4,B,2,hard
PHY,The Brewster angle θ_B is related to refractive index n by:,n = sin θ_B,n = cos θ_B,n = tan θ_B,n = cot θ_B,C,2,hard
PHY,In a transformer if primary turns are 200 and secondary 400 and input is 220 V the output is:,110 V,220 V,440 V,880 V,C,2,hard
PHY,The half-life of a radioactive element is 10 days. Fraction remaining after 30 days is:,1/2,1/4,1/8,1/16,C,2,hard
PHY,Two charges +q and -q separated by distance d. The electric potential at the midpoint is:,kq/d,Zero,2kq/d,k2q/d²,B,2,hard
PHY,The Heisenberg uncertainty principle relates:,Energy and Time,Position and Momentum,Mass and Velocity,Charge and Current,B,2,hard
MATH,The value of sin 30° is:,√3/2,1/2,1/√2,1,B,1,easy
MATH,The sum of angles in a triangle is:,90°,180°,270°,360°,B,1,easy
MATH,The slope of the line y = 3x + 5 is:,5,3,1/3,−3,B,1,easy
MATH,log₁₀(100) equals:,1,10,2,0.1,C,1,easy
MATH,The value of 0! is:,0,1,Undefined,Infinity,B,1,easy
MATH,If A = {1,2,3} and B = {3,4,5} then A ∩ B is:,{1,2,3,4,5},{3},{1,2,4,5},{},B,1,easy
MATH,The roots of x² − 5x + 6 = 0 are:,2 and 4,1 and 6,2 and 3,3 and 4,C,1,easy
MATH,The distance between points (0,0) and (3,4) is:,5,7,√7,12,A,1,easy
MATH,The derivative of x³ with respect to x is:,x²,3x,3x²,x³/3,C,1,easy
MATH,If f(x) = x² then f'(2) is:,2,4,6,8,B,1,easy
MATH,The arithmetic mean of 4 8 6 10 2 is:,5,6,7,8,B,1,easy
MATH,The probability of getting a head in a single coin toss is:,1/4,1/3,1/2,3/4,C,1,easy
MATH,"∫x dx equals (ignore constant):",x,x²,x²/2,2x,C,1,medium
MATH,The area of a circle with radius r is:,πr,2πr,πr²,4πr²,C,1,medium
MATH,The number of ways to arrange 5 letters from the word DELTA is:,60,120,20,24,B,1,medium
MATH,sin²θ + cos²θ equals:,0,2,1,sinθcosθ,C,1,medium
MATH,"If A is a 2×2 matrix with det(A) = 0, then A is:",Invertible,Singular,Identity,Symmetric,B,1,medium
MATH,The sum of first n natural numbers is:,n²,n(n+1)/2,n(n−1)/2,n(n+1),B,1,medium
MATH,The equation of a circle with centre (0,0) and radius 5 is:,x+y=5,x²+y²=5,x²+y²=25,x²+y=25,C,1,medium
MATH,The value of ∫₀¹ x² dx is:,1/4,1/3,1/2,1,B,2,medium
MATH,The general term of a GP with first term a and common ratio r is:,a + (n-1)r,ar^n,ar^(n-1),a(r-1)^n,C,2,hard
MATH,If the binary operation * is defined as a*b = a+b−ab then 2*3 is:,−1,1,5,0,A,2,hard
MATH,The modulus of the complex number 3+4i is:,3,4,5,7,C,2,hard
MATH,The number of solutions of sin x = x/π in [−2π, 2π] is:,1,3,5,7,B,2,hard
MATH,"If f(x) = (x²−1)/(x−1) then lim(x→1) f(x) is:",0,1,2,Undefined,C,2,hard
MATH,The inverse of the matrix [[1,2],[3,4]] has determinant:,−2,2,1/2,−1/2,A,2,hard
MATH,The coefficient of x³ in the expansion of (1+x)⁵ is:,5,10,20,1,B,2,hard
MATH,∫e^x(sinx + cosx)dx equals:,e^x sinx,e^x cosx,e^x(sinx+cosx),e^x(sinx−cosx),A,2,hard
MATH,The area enclosed between y = x² and y = x is:,1/6,1/4,1/3,1/2,A,2,hard
MATH,"If A and B are mutually exclusive events, P(A∪B) equals:",P(A)×P(B),P(A)+P(B)−P(A∩B),P(A)+P(B),P(A)−P(B),C,2,hard
CHEM,The atomic number of Carbon is:,4,6,8,12,B,1,easy
CHEM,Which gas is produced when zinc reacts with dilute sulphuric acid?,Oxygen,Carbon dioxide,Hydrogen,Nitrogen,C,1,easy
CHEM,The chemical formula of water is:,H₂O₂,HO,H₂O,H₃O,C,1,easy
CHEM,Which element has the symbol Na?,Nitrogen,Neon,Sodium,Nickel,C,1,easy
CHEM,The pH of pure water at 25°C is:,5,7,9,14,B,1,easy
CHEM,Avogadro's number is approximately:,6.022 × 10²¹,6.022 × 10²³,6.022 × 10²⁵,6.022 × 10²⁰,B,1,easy
CHEM,Which of the following is a noble gas?,Oxygen,Nitrogen,Argon,Chlorine,C,1,easy
CHEM,The valency of oxygen is:,1,2,3,4,B,1,easy
CHEM,Rusting of iron is an example of:,Physical change,Oxidation,Reduction,Neutralisation,B,1,easy
CHEM,Which acid is present in vinegar?,Hydrochloric acid,Sulphuric acid,Acetic acid,Nitric acid,C,1,easy
CHEM,The atomic mass of Hydrogen is:,1,2,4,8,A,1,easy
CHEM,Which of the following is a non-metal?,Iron,Copper,Sulphur,Aluminium,C,1,easy
CHEM,Moles = Mass / ___:,Density,Molar mass,Volume,Pressure,B,1,medium
CHEM,An exothermic reaction:,Absorbs heat,Releases heat,Has no energy change,Requires a catalyst,B,1,medium
CHEM,The IUPAC name of CH₃OH is:,Methanol,Ethanol,Propanol,Butanol,A,1,medium
CHEM,Which orbital can hold a maximum of 10 electrons?,s,p,d,f,C,1,medium
CHEM,The hybridisation of carbon in CH₄ is:,sp,sp²,sp³,sp³d,C,1,medium
CHEM,Le Chatelier's principle is associated with:,Rate of reaction,Chemical equilibrium,Solubility,Electrochemistry,B,1,medium
CHEM,Electronegativity increases across a period because:,Atomic radius increases,Nuclear charge increases,Electron shielding increases,Neutrons increase,B,1,medium
CHEM,The product of [H⁺] and [OH⁻] in water at 25°C is:,10⁻⁷,10⁻¹⁴,10⁻⁷ each,10⁻²⁸,B,1,medium
CHEM,The number of sigma bonds in ethene (C₂H₄) is:,3,4,5,6,C,2,medium
CHEM,Which of the following is an SN2 reaction characteristic?,First order,Second order,Racemisation,Carbocation intermediate,B,2,hard
CHEM,The rate of reaction is doubled when temperature rises by 10°C. This is explained by:,Collision theory,Le Chatelier's principle,Faraday's law,Boyle's law,A,2,hard
CHEM,"In electrolysis, oxidation occurs at the:",Cathode,Anode,Salt bridge,Both electrodes,B,2,hard
CHEM,The shape of SF₆ molecule is:,Tetrahedral,Trigonal bipyramidal,Octahedral,Linear,C,2,hard
CHEM,Benzene is stabilised by:,Inductive effect,Resonance,Hydrogen bonding,Van der Waals forces,B,2,hard
CHEM,"The van't Hoff factor i for Na₂SO₄ (complete dissociation) is:",1,2,3,4,C,2,hard
CHEM,The standard electrode potential of SHE is:,+1 V,−1 V,0 V,+0.5 V,C,2,hard
CHEM,In which reaction does the oxidation number of Mn change from +7 to +2?,Oxidation,Reduction,Neutralisation,Displacement,B,2,hard
CHEM,"Crystal field splitting in octahedral complexes gives rise to:",σ and π bonds,t₂g and eg sets,sp³ hybridisation,ionic bonding,B,2,hard
